Time, Latitude, Longitude
2095, 			33.99835lon=-116.05989, 			lat=33.99835-116.05989
2100, 			33.99216lon=-116.06833, 			lat=33.99216-116.06833
2105, 			34.00543lon=-116.08277, 			lat=34.00543-116.08277
2110, 			33.99217lon=-116.07474, 			lat=33.99217-116.07474
2115, 			34.0197lon=-116.02048, 			lat=34.0197-116.02048
2120, 			33.977848lon=-116.007355, 			lat=33.977848-116.007355
2125, 			33.935196lon=-115.963715, 			lat=33.935196-115.963715
2130, 			33.92511lon=-115.92798, 			lat=33.92511-115.92798
2135, 			33.925488lon=-115.91432, 			lat=33.925488-115.91432
2140, 			33.908733lon=-115.85745, 			lat=33.908733-115.85745
2145, 			33.90174lon=-115.83484, 			lat=33.90174-115.83484
2150, 			33.902016lon=-115.83491, 			lat=33.902016-115.83491
2155, 			33.87425lon=-115.80753, 			lat=33.87425-115.80753
2160, 			33.82953lon=-115.75937, 			lat=33.82953-115.75937
2165, 			33.801086lon=-115.78137, 			lat=33.801086-115.78137
2170, 			33.78511lon=-115.79542, 			lat=33.78511-115.79542
2175, 			33.754406lon=-115.82157, 			lat=33.754406-115.82157
2180, 			33.754406lon=-115.82158, 			lat=33.754406-115.82158
2185, 			33.75442lon=-115.82156, 			lat=33.75442-115.82156
2190, 			33.75442lon=-115.82156, 			lat=33.75442-115.82156
2195, 			33.75442lon=-115.82156, 			lat=33.75442-115.82156
2200, 			33.726696lon=-115.8214, 			lat=33.726696-115.8214
2205, 			33.68641lon=-115.80227, 			lat=33.68641-115.80227
2210, 			33.68141lon=-115.80185, 			lat=33.68141-115.80185
2215, 			33.68141lon=-115.80185, 			lat=33.68141-115.80185
2220, 			33.68141lon=-115.80185, 			lat=33.68141-115.80185
2225, 			33.68141lon=-115.80185, 			lat=33.68141-115.80185
2230, 			33.66317lon=-115.802185, 			lat=33.66317-115.802185
2235, 			33.662468lon=-115.70518, 			lat=33.662468-115.70518
2240, 			33?.672157lon=-115.59767, 			lat=33?.672157-115.59767
2245, 			33.692783lon=-115.49539, 			lat=33.692783-115.49539
2250, 			33.710464lon=-115.38419, 			lat=33.710464-115.38419
2255, 			33.693287lon=-115.280914, 			lat=33.693287-115.280914
2260, 			33.66474lon=-115.18451, 			lat=33.66474-115.18451
2265, 			33.632217lon=-115.077126, 			lat=33.632217-115.077126
2270, 			33.60583lon=-114.96963, 			lat=33.60583-114.96963
2275, 			33.60911lon=-114.856544, 			lat=33.60911-114.856544
2280, 			33.608963lon=-114.74493, 			lat=33.608963-114.74493
2285, 			33.6065lon=-114.63103, 			lat=33.6065-114.63103
